Audio,Darwin,Josefina,Richard,Sayuri
10001,5,5,5,4
10002,2,3,1,2
10003,4,3,2,2
10004,4,2,1,2
10005,4,4,2,4
10006,2,3,2,2
10007,5,5,5,4
10008,2,4,2,3
10009,1,1,1,1
10010,2,2,1,1
10011,4,3,2,1
10012,4,5,4,4
10013,5,5,4,4
10014,4,5,4,3
10015,3,3,2,3
10016,5,5,5,5
10017,4,5,5,4
10018,4,5,5,4
10019,5,5,5,5
10020,2,2,1,1
10021,5,5,5,4
10022,2,3,1,3
10023,4,5,5,4
10024,2,2,2,1
10025,5,5,4,5
10026,5,5,5,5
10027,4,5,5,5
10028,2,2,1,1
10029,5,5,5,5
10030,2,3,1,3
10031,2,2,2,2
10032,1,2,1,3
10033,4,5,4,4
10034,4,5,2,5
10035,3,5,1,2
10036,1,2,1,1
10037,2,2,1,1
10038,4,5,2,4
10039,4,2,5,1
10040,4,5,2,4
10041,4,5,4,4
10042,5,5,2,5
10043,4,5,2,5
10044,3,2,1,3
10045,4,5,4,4
10046,4,4,1,3
10047,2,4,1,1
10048,1,2,1,1
10049,4,2,1,2
10050,2,3,1,3
10051,1,2,1,1
10052,5,5,4,5
10053,2,2,1,1
10054,5,5,2,4
10055,4,5,1,3
10056,4,4,2,2
10057,4,5,1,4
10058,2,3,1,1
10059,4,3,5,2
10060,4,4,1,1
10061,5,5,4,2
10062,5,5,5,5
10063,5,5,4,5
10064,5,5,4,4
10065,4,5,1,4
10066,4,5,4,5
10067,3,4,4,2
10068,2,2,1,1
10069,5,5,5,4
10070,4,5,5,5
10071,2,4,1,4
10072,3,2,1,1
10073,2,4,4,4
10074,1,2,1,1
10075,4,5,5,5
10076,2,2,2,4
10077,4,3,1,2
10078,5,5,5,5
10079,2,3,1,3
10080,2,2,1,1
10081,5,5,5,5
10082,3,3,1,1
10083,3,5,2,1
10084,2,2,1,2
10085,4,4,3,5
10086,3,3,3,3
10087,2,2,4,2
10088,2,2,1,1
10089,4,4,5,5
10090,2,2,1,1
10091,2,2,1,3
10092,1,2,1,1
10093,4,2,2,2
10094,2,2,1,1
10095,4,5,1,1
10096,5,5,5,5
10097,3,5,2,2
10098,5,5,4,5
10099,4,5,2,1
10100,3,1,1,1
10101,4,5,4,5
10102,5,5,4,4
10103,4,5,4,4
10104,2,2,1,1
10105,2,2,1,1
10106,5,5,5,4
10107,4,5,1,5
10108,3,3,4,3
10109,2,2,2,1
10110,5,5,5,4
10111,5,5,5,5
10112,4,5,4,1
10113,4,5,2,4
10114,4,2,1,1
10115,3,2,1,3
10116,3,3,1,1
10117,5,5,2,4
10118,3,3,1,2
10119,2,3,4,1
10120,3,5,2,2
10121,2,2,1,1
10122,2,1,1,1
10123,4,5,4,4
10124,4,5,4,4
10125,4,1,2,1
10126,4,5,2,4
10127,2,2,1,2
10128,4,5,1,2
10129,2,2,1,2
10130,2,3,1,4
10131,5,5,5,2
10132,1,3,1,4
10133,5,5,4,3
10134,5,5,5,1
10135,1,2,2,1
10136,4,3,4,1
10137,2,3,2,4
10138,4,5,1,4
10139,5,5,4,3
10140,4,5,4,3
10141,4,5,1,5
10142,3,3,1,4
10143,5,5,4,4
10144,2,4,1,5
10145,4,2,1,1
10146,2,3,1,4
10147,4,5,1,3
10148,2,3,1,4
10149,4,5,4,1
10150,2,3,2,5
10151,3,2,1,5
10152,5,5,5,5
10153,2,2,2,1
10154,5,5,5,5
10155,2,1,1,3
10156,2,3,1,2
10157,2,2,1,3
10158,2,1,1,4
10159,5,5,5,5
10160,4,5,4,2
10161,1,2,1,1
10162,5,5,5,1
10163,4,5,2,4
10164,4,5,4,1
10165,4,5,2,4
10166,2,2,2,4
10167,2,3,2,5
10168,2,2,1,5
10169,2,3,1,3
10170,3,2,1,4
10171,4,5,2,3
10172,4,5,4,1
10173,2,3,2,1
10174,4,5,1,2
10175,2,3,1,3
10176,3,4,1,1
10177,3,2,2,5
10178,5,5,5,1
10179,3,3,1,4
10180,3,3,1,3
10181,5,5,5,2
10182,2,5,1,4
10183,4,5,4,1
10184,1,3,1,2
10185,3,5,4,1
10186,3,2,1,2
10187,3,3,2,5
10188,2,3,1,5
10189,2,4,1,4
10190,4,5,5,4
10191,2,2,2,5
10192,5,5,5,2
10193,2,3,1,1
10194,4,5,1,4
10195,2,2,1,5
10196,1,3,1,4
10197,2,2,1,1
10198,2,2,1,4
10199,5,5,5,1
10200,4,2,1,5
10201,1,4,1,4
10202,3,5,1,2
10203,4,3,4,5
10204,2,1,1,3
10205,1,2,1,1
10206,4,2,4,5
10207,2,3,2,1
10208,5,5,1,1
10209,2,3,4,2
10210,3,3,2,5
10211,4,5,2,3
10212,4,5,2,2
10213,2,2,1,1
10214,3,4,4,5
10215,1,2,1,1
10216,4,5,2,3
10217,1,1,2,1
10218,3,3,2,2
10219,3,5,1,1
10220,4,5,4,1
10221,4,5,1,5
10222,2,2,1,2
10223,3,4,2,5
10224,2,1,2,1
10225,2,5,4,1
10226,3,2,1,5
10227,4,2,2,4
10228,4,5,2,4
10229,3,3,4,1
10230,2,3,1,1
10231,1,3,2,4
10232,5,5,5,5
10233,4,5,2,3
10234,5,5,5,1
10235,4,5,5,4
10236,2,1,1,5
10237,3,2,1,1
10238,4,5,5,4
10239,4,5,4,1
10240,2,5,4,3
10241,2,2,1,1
10242,4,5,5,4
10243,3,4,2,2
10244,2,1,1,1
10245,4,5,2,2
10246,2,2,1,1
10247,3,4,4,1
10248,2,5,1,4
10249,3,5,2,4
10250,3,5,2,4
10251,2,2,1,2
10252,3,3,1,2
10253,3,5,1,2
10254,2,3,1,4
10255,2,3,2,2
10256,4,5,1,4
10257,4,5,5,3
10258,4,5,4,1
10259,4,4,4,1
10260,2,2,1,1
10261,4,4,4,4
10262,2,1,1,4
10263,2,3,1,3
10264,2,2,1,3
10265,4,2,1,5
10266,2,3,2,4
10267,4,5,2,4
10268,5,5,5,5
10269,4,5,2,1
10270,4,4,2,4
10271,2,3,2,3
10272,5,5,5,4
10273,4,5,2,1
10274,3,5,4,5
10275,1,1,1,5
10276,4,5,2,5
10277,3,4,2,1
10278,4,5,1,5
10279,2,3,1,3
10280,4,5,2,2
10281,2,1,1,3
10282,4,5,2,4
10283,2,3,2,5
10284,2,4,1,2
10285,2,3,1,1
10286,3,2,1,1
10287,1,2,1,4
10288,3,3,4,1
10289,5,5,5,4
10290,5,5,4,4
10291,4,5,2,5
10292,3,5,1,5
10293,3,4,1,3
10294,2,3,1,4
10295,3,5,5,3
10296,2,4,1,1
10297,1,3,1,1
10298,3,3,1,2
10299,2,3,1,3
10300,4,5,1,1
10301,5,5,5,5
10302,3,2,1,1
10303,3,4,1,4
10304,2,3,2,3
10305,2,2,1,2
10306,4,5,1,4
10307,2,2,1,1
10308,4,5,5,2
10309,2,3,1,1
10310,4,5,4,2
10311,2,3,2,5
10312,3,3,1,5
10313,1,1,1,4
10314,4,5,2,4
10315,4,4,2,5
10316,2,2,1,2
10317,3,3,2,1
10318,3,4,4,4
10319,2,2,2,5
10320,2,2,4,4
10321,2,3,4,1
10322,5,5,5,4
10323,5,5,5,1
10324,4,5,5,5
10325,2,3,1,4
10326,5,5,5,2
10327,4,5,5,5
10328,2,1,1,3
10329,4,5,1,1
10330,4,5,1,5
10331,2,3,1,1
10332,4,5,4,1
10333,5,5,5,2
10334,4,5,1,5
10335,2,3,1,3
10336,2,2,1,2
10337,2,3,1,1
10338,2,3,1,5
10339,4,5,1,1
10340,2,2,1,3
10341,5,5,2,1
10342,2,2,1,2
10343,5,5,5,1
10344,4,5,2,1
10345,2,3,1,5
10346,2,3,1,2
10347,2,4,1,5
10348,2,3,2,1
10349,2,3,1,1
10350,5,5,4,5
10351,5,5,5,4
10352,4,5,4,4
10353,5,5,1,1
10354,5,5,5,1
10355,3,5,1,4
10356,4,5,4,5
10357,5,5,4,3
10358,1,1,1,1
10359,3,5,4,4
10360,5,5,5,5
10361,3,2,1,1
10362,4,5,4,4
10363,4,5,1,1
10364,5,5,4,3
10365,4,5,1,1
10366,3,5,4,4
10367,4,3,2,2
10368,4,5,4,1
10369,5,5,5,2
10370,5,5,5,1
10371,2,3,1,1
10372,4,5,2,4
10373,4,5,1,4
10374,2,2,1,4
10375,3,5,2,2
10376,4,1,1,2
10377,2,1,1,2
10378,4,5,2,4
10379,5,5,4,2
10380,5,5,5,4
10381,2,2,1,3
