Audio,Darwin,Josefina,Richard,Sayuri
10001,5,5,5,3
10002,2,3,2,2
10003,3,3,2,2
10004,3,2,2,3
10005,4,3,4,4
10006,3,3,2,5
10007,5,5,5,4
10008,2,4,2,3
10009,2,1,1,2
10010,2,2,1,1
10011,4,4,2,2
10012,5,5,4,4
10013,4,5,5,4
10014,4,5,4,3
10015,2,3,2,3
10016,4,5,5,4
10017,4,5,5,4
10018,4,5,5,4
10019,5,5,5,2
10020,2,2,1,4
10021,5,5,5,4
10022,3,3,1,3
10023,3,5,5,4
10024,2,2,2,4
10025,5,5,4,5
10026,1,5,5,5
10027,4,5,4,4
10028,2,1,1,1
10029,5,5,5,4
10030,3,3,2,3
10031,2,2,1,1
10032,2,2,2,3
10033,4,4,4,2
10034,4,5,2,4
10035,4,4,1,2
10036,1,2,1,1
10037,3,2,1,1
10038,4,5,2,4
10039,3,2,5,4
10040,3,4,2,4
10041,3,5,4,2
10042,4,5,2,2
10043,4,5,2,4
10044,3,2,1,3
10045,4,5,5,4
10046,4,4,1,3
10047,2,4,1,2
10048,2,2,1,2
10049,3,4,2,4
10050,3,3,1,3
10051,2,2,1,2
10052,5,5,4,4
10053,2,4,1,2
10054,4,4,2,4
10055,4,4,1,3
10056,4,4,2,4
10057,4,4,2,3
10058,3,3,2,2
10059,4,3,5,2
10060,3,4,1,1
10061,5,5,4,4
10062,5,5,5,1
10063,5,5,5,5
10064,5,5,5,4
10065,4,5,2,2
10066,4,4,4,4
10067,3,3,4,4
10068,2,2,1,2
10069,5,5,5,4
10070,4,5,5,4
10071,3,4,1,1
10072,3,2,2,2
10073,3,4,4,1
10074,2,1,1,1
10075,5,5,5,4
10076,2,1,2,2
10077,3,3,1,2
10078,4,5,5,4
10079,3,3,1,3
10080,2,2,1,1
10081,4,5,5,4
10082,2,3,1,2
10083,4,5,2,2
10084,2,3,1,4
10085,4,4,4,4
10086,4,3,4,3
10087,3,2,4,1
10088,3,2,2,5
10089,4,5,4,4
10090,2,2,1,4
10091,3,2,1,5
10092,2,2,1,2
10093,3,2,2,3
10094,3,2,2,2
10095,3,5,2,2
10096,5,5,5,1
10097,3,5,2,4
10098,5,5,4,4
10099,3,4,1,4
10100,2,1,1,1
10101,3,5,4,2
10102,4,5,4,1
10103,4,5,4,4
10104,2,2,1,1
10105,2,2,1,1
10106,4,5,5,2
10107,3,4,1,2
10108,4,3,4,1
10109,3,2,1,2
10110,5,5,5,5
10111,4,5,5,1
10112,4,5,4,2
10113,5,5,2,1
10114,3,2,2,1
10115,3,2,2,2
10116,4,3,2,2
10117,4,5,2,1
10118,3,3,2,2
10119,3,3,4,2
10120,4,5,2,2
10121,2,2,1,1
10122,3,1,1,2
10123,3,5,4,2
10124,4,5,4,4
10125,3,1,2,2
10126,3,5,2,3
10127,3,2,2,2
10128,4,5,2,2
10129,3,2,1,3
10130,3,3,2,4
10131,4,5,4,5
10132,1,3,1,4
10133,4,5,4,3
10134,5,5,5,2
10135,2,2,1,1
10136,3,3,4,2
10137,3,3,3,4
10138,3,4,1,4
10139,5,5,5,3
10140,4,5,5,3
10141,4,4,1,4
10142,4,3,1,4
10143,4,5,4,4
10144,3,3,1,2
10145,4,1,1,4
10146,3,3,1,4
10147,3,5,1,3
10148,3,3,1,4
10149,4,5,4,4
10150,3,3,2,5
10151,2,2,1,5
10152,4,5,5,4
10153,1,2,2,1
10154,4,5,5,4
10155,2,1,1,3
10156,3,3,2,1
10157,3,2,1,3
10158,3,1,1,2
