Audio,Darwin,Josefina,Richard,Sayuri,N1,N2,N3,N4
10001,1,1,1,2,,,,
10002,3,3,4,4,,,,
10003,2,3,4,4,,,,
10004,2,4,4,5,,,,
10005,4,3,2,5,,,,
10006,3,3,4,5,,,,
10007,1,1,1,5,,,,
10008,2,4,5,3,,,,
10009,2,4,5,4,,,,
10010,4,4,5,2,,,,
10011,4,2,2,4,,,,
10012,2,5,2,2,,,,
10013,2,5,2,4,,,,
10014,3,1,2,3,,,,
10015,2,3,4,3,,,,
10016,2,2,1,4,,,,
10017,3,4,5,5,,,,
10018,4,4,4,5,,,,
10019,1,1,1,1,,,,
10020,2,2,5,4,,,,
10021,1,2,1,2,,,,
10022,3,3,4,3,,,,
10023,3,1,1,2,,,,
10024,3,4,2,5,,,,
10025,2,2,1,1,,,,
10026,1,1,1,1,,,,
10027,4,5,5,5,,,,
10028,4,2,4,4,,,,
10029,1,1,1,5,,,,
10030,3,3,4,3,,,,
10031,2,2,4,4,,,,
10032,2,3,4,3,,,,
10033,4,4,2,5,,,,
10034,4,5,4,4,,,,
10035,4,4,4,5,,,,
10036,2,2,5,4,,,,
10037,3,2,5,5,,,,
10038,2,1,4,2,,,,
10039,4,4,1,5,,,,
10040,4,1,4,4,,,,
10041,3,2,1,2,,,,
10042,2,1,3,1,,,,
10043,4,5,4,5,,,,
10044,4,3,5,3,,,,
10045,1,1,2,5,,,,
10046,2,4,5,3,,,,
10047,1,4,5,5,,,,
10048,3,2,5,5,,,,
10049,4,4,4,4,,,,
10050,2,4,4,3,,,,
10051,3,3,5,1,,,,
10052,1,1,2,5,,,,
10053,3,3,5,4,,,,
10054,4,5,4,4,,,,
10055,4,5,4,3,,,,
10056,4,4,4,1,,,,
10057,4,5,4,4,,,,
10058,4,3,4,5,,,,
10059,2,3,1,4,,,,
10060,4,4,4,4,,,,
10061,2,5,1,1,,,,
10062,1,1,1,1,,,,
10063,1,1,1,2,,,,
10064,2,1,2,1,,,,
10065,4,5,4,4,,,,
10066,3,4,2,5,,,,
10067,4,4,2,2,,,,
10068,2,2,5,5,,,,
10069,1,1,1,5,,,,
10070,2,1,1,1,,,,
10071,3,4,5,5,,,,
10072,4,4,4,4,,,,
